"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"ARM00087480","ROSARIO, AR","2012-01-01",,,"78","90","69"
"ARM00087480","ROSARIO, AR","2012-01-02",,,"78",,"60"
"ARM00087480","ROSARIO, AR","2012-01-03",,,"79","94","69"
"ARM00087480","ROSARIO, AR","2012-01-04",,,"77","89","61"
"ARM00087480","ROSARIO, AR","2012-01-05",,,"79",,"59"
"ARM00087480","ROSARIO, AR","2012-01-06",,,"80",,"62"
"ARM00087480","ROSARIO, AR","2012-01-07",,,"81","97","68"
"ARM00087480","ROSARIO, AR","2012-01-08",,,"83",,"71"
"ARM00087480","ROSARIO, AR","2012-01-09",,,"87",,"72"
"ARM00087480","ROSARIO, AR","2012-01-10",,,"90","104",
"ARM00087480","ROSARIO, AR","2012-01-11","1.81",,"71","101",
"ARM00087480","ROSARIO, AR","2012-01-12","0.08",,"75",,"67"
"ARM00087480","ROSARIO, AR","2012-01-13","0.00",,"73","84","60"
"ARM00087480","ROSARIO, AR","2012-01-14",,,"74",,"57"
"ARM00087480","ROSARIO, AR","2012-01-15",,,"74",,"60"
"ARM00087480","ROSARIO, AR","2012-01-16",,,"77",,"64"
"ARM00087480","ROSARIO, AR","2012-01-17",,,"81",,"66"
"ARM00087480","ROSARIO, AR","2012-01-18",,,"81","96","65"
"ARM00087480","ROSARIO, AR","2012-01-19",,,"82","95","72"
"ARM00087480","ROSARIO, AR","2012-01-20",,,"85",,"72"
"ARM00087480","ROSARIO, AR","2012-01-21",,,"81","99","72"
"ARM00087480","ROSARIO, AR","2012-01-22","0.00",,"80",,"67"
"ARM00087480","ROSARIO, AR","2012-01-23",,,"85",,"73"
"ARM00087480","ROSARIO, AR","2012-01-24","2.56",,"73","97","65"
"ARM00087480","ROSARIO, AR","2012-01-25","0.00",,"70","86","58"
"ARM00087480","ROSARIO, AR","2012-01-26",,,"71",,"61"
"ARM00087480","ROSARIO, AR","2012-01-27",,,"76",,"64"
"ARM00087480","ROSARIO, AR","2012-01-28",,,"77",,"65"
"ARM00087480","ROSARIO, AR","2012-01-29",,,"82",,"69"
"ARM00087480","ROSARIO, AR","2012-01-30",,,"83","98",
"ARM00087480","ROSARIO, AR","2012-01-31",,,"77","91",
"ARM00087480","ROSARIO, AR","2012-02-01","0.12",,"77",,"67"
"ARM00087480","ROSARIO, AR","2012-02-02","0.28",,"77","88","69"
"ARM00087480","ROSARIO, AR","2012-02-03","0.00",,"75",,"66"
"ARM00087480","ROSARIO, AR","2012-02-04",,,"82",,
"ARM00087480","ROSARIO, AR","2012-02-05","1.26",,"80","96","71"
"ARM00087480","ROSARIO, AR","2012-02-06","0.28",,"82",,"72"
"ARM00087480","ROSARIO, AR","2012-02-07","0.00",,"84","92","75"
"ARM00087480","ROSARIO, AR","2012-02-08","1.69",,"74","92","67"
"ARM00087480","ROSARIO, AR","2012-02-09","0.00",,"71","81","62"
"ARM00087480","ROSARIO, AR","2012-02-10",,,"68",,"56"
"ARM00087480","ROSARIO, AR","2012-02-11",,,"71",,"56"
"ARM00087480","ROSARIO, AR","2012-02-12",,,"75",,"59"
"ARM00087480","ROSARIO, AR","2012-02-13",,,"79",,"67"
"ARM00087480","ROSARIO, AR","2012-02-14",,,"82",,"69"
"ARM00087480","ROSARIO, AR","2012-02-15",,,"81","94",
"ARM00087480","ROSARIO, AR","2012-02-16",,,"87",,"78"
"ARM00087480","ROSARIO, AR","2012-02-17","0.01",,"83","97","74"
"ARM00087480","ROSARIO, AR","2012-02-18","0.00",,"87",,"79"
"ARM00087480","ROSARIO, AR","2012-02-19","0.03",,"78","99",
"ARM00087480","ROSARIO, AR","2012-02-20","0.55",,"73","85",
"ARM00087480","ROSARIO, AR","2012-02-21","0.94",,"72",,"67"
"ARM00087480","ROSARIO, AR","2012-02-22","0.00",,"71",,"59"
"ARM00087480","ROSARIO, AR","2012-02-23","0.00",,"70","83","60"
"ARM00087480","ROSARIO, AR","2012-02-24",,,"70",,"60"
"ARM00087480","ROSARIO, AR","2012-02-25",,,"75",,
"ARM00087480","ROSARIO, AR","2012-02-26",,,"72","86","61"
"ARM00087480","ROSARIO, AR","2012-02-27",,,"73",,"59"
"ARM00087480","ROSARIO, AR","2012-02-28","1.10",,"70","88","64"
"ARM00087480","ROSARIO, AR","2012-02-29","1.34",,"70",,"64"
"ARM00087480","ROSARIO, AR","2012-03-01","0.28",,"68",,
"ARM00087480","ROSARIO, AR","2012-03-02","0.00",,"69",,"54"
"ARM00087480","ROSARIO, AR","2012-03-03",,,"76",,"65"
"ARM00087480","ROSARIO, AR","2012-03-04",,,"80",,"69"
"ARM00087480","ROSARIO, AR","2012-03-05",,,"79","93",
"ARM00087480","ROSARIO, AR","2012-03-06","2.44",,"71","93","67"
"ARM00087480","ROSARIO, AR","2012-03-07","0.00",,"75",,"65"
"ARM00087480","ROSARIO, AR","2012-03-08",,,"79",,"69"
"ARM00087480","ROSARIO, AR","2012-03-09",,,"80","90","71"
"ARM00087480","ROSARIO, AR","2012-03-10","0.08",,"81",,"68"
"ARM00087480","ROSARIO, AR","2012-03-11","0.00",,"85",,"71"
"ARM00087480","ROSARIO, AR","2012-03-12",,,"81","96","76"
"ARM00087480","ROSARIO, AR","2012-03-13","1.22",,"72","84",
"ARM00087480","ROSARIO, AR","2012-03-14","0.03",,"69",,"60"
"ARM00087480","ROSARIO, AR","2012-03-15","0.00",,"65","78","52"
"ARM00087480","ROSARIO, AR","2012-03-16",,,"67",,"54"
"ARM00087480","ROSARIO, AR","2012-03-17",,,"71",,"60"
"ARM00087480","ROSARIO, AR","2012-03-18",,,"75",,"59"
"ARM00087480","ROSARIO, AR","2012-03-19",,,"81",,"69"
"ARM00087480","ROSARIO, AR","2012-03-20","1.89",,"70","93","65"
"ARM00087480","ROSARIO, AR","2012-03-21","0.00",,"73",,
"ARM00087480","ROSARIO, AR","2012-03-22",,,"67","78","59"
"ARM00087480","ROSARIO, AR","2012-03-23",,,"61","74","49"
"ARM00087480","ROSARIO, AR","2012-03-24",,,"62",,"49"
"ARM00087480","ROSARIO, AR","2012-03-25",,,"66","75",
"ARM00087480","ROSARIO, AR","2012-03-26",,,"66",,
"ARM00087480","ROSARIO, AR","2012-03-27","0.00",,"56","75","46"
"ARM00087480","ROSARIO, AR","2012-03-28",,,"58",,"40"
"ARM00087480","ROSARIO, AR","2012-03-29",,,"63",,"40"
"ARM00087480","ROSARIO, AR","2012-03-30",,,"67",,"53"
"ARM00087480","ROSARIO, AR","2012-03-31",,,"70",,
"ARM00087480","ROSARIO, AR","2012-04-01",,,"71",,"57"
"ARM00087480","ROSARIO, AR","2012-04-02",,,"69","85","60"
"ARM00087480","ROSARIO, AR","2012-04-03","0.00",,"74",,"64"
"ARM00087480","ROSARIO, AR","2012-04-04",,,"77",,"66"
"ARM00087480","ROSARIO, AR","2012-04-05","0.02",,"67","90","58"
"ARM00087480","ROSARIO, AR","2012-04-06","0.00",,"62",,"44"
"ARM00087480","ROSARIO, AR","2012-04-07",,,"67",,"48"
"ARM00087480","ROSARIO, AR","2012-04-08",,,"71","88","59"
"ARM00087480","ROSARIO, AR","2012-04-09","0.04",,"71",,"62"
"ARM00087480","ROSARIO, AR","2012-04-10","0.02",,"73","83","63"
"ARM00087480","ROSARIO, AR","2012-04-11","0.00",,"70","83","60"
"ARM00087480","ROSARIO, AR","2012-04-12",,,"71","82","59"
"ARM00087480","ROSARIO, AR","2012-04-13",,,"68","81","63"
"ARM00087480","ROSARIO, AR","2012-04-14","0.00",,"67",,
"ARM00087480","ROSARIO, AR","2012-04-15",,,"66",,"53"
"ARM00087480","ROSARIO, AR","2012-04-16",,,"69",,"56"
"ARM00087480","ROSARIO, AR","2012-04-17","0.31",,"70",,"59"
"ARM00087480","ROSARIO, AR","2012-04-18","0.00",,"66","82","53"
"ARM00087480","ROSARIO, AR","2012-04-19",,,"71",,"61"
"ARM00087480","ROSARIO, AR","2012-04-20",,,"69",,"54"
"ARM00087480","ROSARIO, AR","2012-04-21",,,"65","86",
"ARM00087480","ROSARIO, AR","2012-04-22","0.00",,"55","69","52"
"ARM00087480","ROSARIO, AR","2012-04-23","0.04",,"58",,"53"
"ARM00087480","ROSARIO, AR","2012-04-24","0.00",,"53",,"44"
"ARM00087480","ROSARIO, AR","2012-04-25","0.00",,"55","63","48"
"ARM00087480","ROSARIO, AR","2012-04-26","0.03",,"54",,
"ARM00087480","ROSARIO, AR","2012-04-27","0.00",,"50",,"38"
"ARM00087480","ROSARIO, AR","2012-04-28","0.20",,"53","63","47"
"ARM00087480","ROSARIO, AR","2012-04-29","0.28",,"51",,"46"
"ARM00087480","ROSARIO, AR","2012-04-30","0.00",,"51",,"35"
